1,Toaster Oven,Appliances,29.92,10
2,Uniqlo Men Stretch Selvedge Slim-Fit Jeans,Apparel,39.90,5
3,Tripp Lite 6U Wall Mount Rack Enclosure Server Cabinet,Computers & Accessories,139.99,1
4,The Pragmatic Programmer: From Journeyman to Master,Books,35.26,3
5,Dell XPS9360-4841SLV 13.3" Laptop,Electronics,1324.64,1
6,Fiskars 8 Inch Softgrip Scissors Straight,Craft Supplies,4.88,15
7,Raceseng Slammer - Texture - Gate 3 - M12x1.25mm Shifter Arm,Cars & Auto Accessories,145.00,3
8,sixthreezero Around The Block Men's 26-Inch Single Speed Cruiser Bike,Sports & Outdoors,199.99,5
9,Herman Miller Aeron Chair,Furniture,780.00,2
10,Jack Link’s Beef Jerky Original Flavor 16 Ounce,Food,15.18,100
